_query_time,_type,_id,_session,_status,_short_title,_official_title,_passed_house,_passed_senate,_introduced,_top_subject,_sponsor_id,_sponsor_name,_sponsor_party,_n_cosponsors,_n_dem_cosponsors,_n_rep_cosponsors,_n_withdrawn_cosponsors
2021-02-27_16-16-44,hr,3833,116,PARSED,"Streamlining Income-driven, Manageable Payments on Loans for Education Act","To amend the Higher Education Act of 1965 to provide for the automatic recertification of income for income-driven repayment plans, and for other purposes.",False,False,2019-07-18,Education,B001278,Suzanne Bonamici,D,5,3,2,0
2021-02-27_16-16-46,hr,3919,116,PARSED,Creating Opportunity And Sustainability Through Science Act,"To require research in coastal sustainability and resilience, to ensure that the Federal Government continues to implement and advance coastal resiliency efforts, and for other purposes.",False,False,2019-07-23,Public Lands and Natural Resources,M001196,Seth Moulton,D,2,0,2,0
2021-02-27_16-16-47,hr,4998,116,PARSED,Secure and Trusted Communications Networks Act of 2019,"To prohibit certain Federal loans, grants, and subsidies from being used to purchase communications equipment or services posing national security risks, to provide for the establishment of a reimbursement program for the replacement of communications equipment or services posing such risks, and for other purposes.",True,True,2019-11-08,"Science, Technology, Communications",P000034,Frank Pallone,D,3,1,2,0
2021-02-27_16-16-48,hr,5084,116,PARSED,Improving Corporate Governance Through Diversity Act of 2019,To amend the Securities Exchange Act of 1934 to require the submission by issuers of data relating to diversity and for other purposes.,True,False,2019-11-14,Finance and Financial Sector,M001137,Gregory W. Meeks,D,5,5,0,0
2021-02-27_16-16-49,hr,5174,116,PARSED,State Sponsored Visa Pilot Program Act of 2019,"To amend the Immigration and Nationality Act to provide for a State-sponsored nonimmigrant pilot program, and for other purposes.",False,False,2019-11-19,Immigration,C001114,John Curtis,R,0,0,0,0
2021-02-27_16-16-49,hr,5175,116,PARSED,Pipeline Safety Improvement Act of 2019,"To amend title 49, United States Code, to provide enhanced safety in pipeline transportation, and for other purposes.",False,False,2019-11-19,Transportation and Public Works,C001087,Rick Crawford,R,40,0,40,0
2021-02-27_16-16-50,hr,6354,116,PARSED,Small Business Assistance Act of 2020,To amend the Internal Revenue Code of 1986 to provide a one-time emergency tax credit to small businesses to cover rent and mortgage payments.,False,False,2020-03-23,Taxation,K000188,Ron Kind,D,3,1,2,0
2021-02-27_16-16-51,hr,7292,116,PARSED,The COVID-19 Hospital and Health Provider Loan Forgiveness Act of 2020,To amend title XVIII of the Social Security Act to provide for forgiveness of certain accelerated and advance payments under parts A and B of the Medicare program.,False,False,2020-06-22,Health,K000009,Marcy Kaptur,D,84,63,21,0
2021-02-27_16-16-52,hr,7294,116,PARSED,COVID-19 Perkins Loan Relief Act,"To suspend Federal Perkins Loans repayments during the COVID-19 pandemic, and for other purposes.",False,False,2020-06-22,Education,P000618,Katie Porter,D,4,3,1,0
2021-02-27_16-16-54,hr,8474,116,PARSED,Community-Based Response Act,To provide for a Community-Based Emergency and Non-Emergency Response Grant Program.,False,False,2020-10-01,Social Welfare,B001270,Karen Bass,D,0,0,0,0
